  project    latest deployment          inst #    type    state    age
  juntos     juntos-ihtml4nz4.now.sh         -    -       READY    8s
  juntos     juntos-dvpz9m3m0.now.sh         -    -       READY    5d
  juntos     juntos-knyw014qa.now.sh         -    -       READY    5d
  juntos     juntos-mdcbicwy9.now.sh         -    -       READY    5d
  juntos     juntos-7pqynoazl.now.sh         -    -       READY    5d
  juntos     juntos-ihxldk5e1.now.sh         -    -       READY    5d
  juntos     juntos-1n6nn1mtn.now.sh         -    -       READY    5d
  juntos     juntos-wt9ncdjvi.now.sh         -    -       READY    5d
  juntos     juntos-fp220vm7i.now.sh         -    -       READY    5d
  juntos     juntos-lsnki5yoo.now.sh         -    -       READY    5d
  juntos     juntos-7dsikd6eu.now.sh         -    -       READY    5d
  juntos     juntos-de51pql73.now.sh         -    -       READY    5d
  juntos     juntos-9qkl84w3k.now.sh         -    -       READY    5d


